season_year,player_name,position,team_name,honor_scope,honor_name,selector,placement,source_name,source_url
2025,Fernando Mendoza,QB,Indiana,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Emmett Johnson,RB,Nebraska,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Kaytron Allen,RB,Penn State,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Jeremiah Smith,WR,Ohio State,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Carnell Tate,WR,Ohio State,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Makai Lemon,WR,USC,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Kenyon Sadiq,TE,Oregon,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Max Klare,TE,Ohio State,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Logan Jones,C,Iowa,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Beau Stephens,OG,Iowa,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Emmanuel Pregnon,OG,Oregon,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,J. C. Davis,OT,Illinois,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Carter Smith,OT,Indiana,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Derrick Moore,DE,Michigan,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Anthony Smith,DE,Minnesota,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Tyrique Tucker,DT,Indiana,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Kayden McDonald,DT,Ohio State,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Aiden Fisher,LB,Indiana,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Arvell Reese,LB,Ohio State,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Sonny Styles,LB,Ohio State,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,D'Angelo Ponds,DB,Indiana,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Louis Moore,DB,Indiana,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Caleb Downs,DB,Ohio State,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Dillon Thieneman,DB,Oregon,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Bishop Fitzgerald,DB,USC,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Sean O'Haire,K,Maryland,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Ryan Eckley,P,Michigan State,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Mark Langston,LS,Indiana,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Julian Sayin,QB,Ohio State,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Bo Jackson,RB,Ohio State,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Antwan Raymond,RB,Rutgers,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Omar Cooper Jr.,WR,Indiana,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Elijah Sarratt,WR,Indiana,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,KJ Duff,WR,Rutgers,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Lake McRee,TE,USC,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Lance Mason,TE,Wisconsin,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Iapani Laloulu,C,Oregon,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Luke Montgomery,OG,Ohio State,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Olaivavega Ioane,OG,Penn State,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Caleb Tiernan,OT,Northwestern,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Austin Siereveld,OT,Ohio State,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Gabe Jacas,DE,Illinois,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
2025,Caden Curry,DE,Ohio State,all_conference,All-Big Ten,Big Ten,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Big_Ten_Conference_football_season
