season_year,player_name,position,team_name,honor_scope,honor_name,selector,placement,source_name,source_url
2025,Amari Odom,QB,Kennesaw State,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Cam Cook,RB,Jacksonville State,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Gabriel Benyard,WR,Kennesaw State,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Gavin Harris,TE,New Mexico State,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Amare Grayson,OL,Jacksonville State,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Elijah Hill,DE,Kennesaw State,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Damonte Smith,DT,Middle Tennessee State,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Emmanuel Oyebadejo,DE,Jacksonville State,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Johnny Chaney Jr.,LB,FIU,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Mister Clark,DB,FIU,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Garrison Rippa,K,Jacksonville State,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Cole Maynard,P,Western Kentucky,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Devin Gandy,RET,Louisiana Tech,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Gabriel Benyard,RET,Kennesaw State,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Cole Marszalek,LS,Jacksonville State,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Nick Minicucci,QB,Delaware,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Evan Dickens,RB,Liberty,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Donovan Faupel,WR,New Mexico State,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
2025,Eli Finley,TE,Louisiana Tech,all_conference,All-Conference USA,Conference USA,first_team,wikipedia,https://en.wikipedia.org/wiki/2025_Conference_USA_football_season
