season_year,player_name,position,team_name,honor_scope,honor_name,selector,placement,source_name,source_url
2024,Brett Gabbert,QB,Miami,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Alex Wollschlaeger,OL,Bowling Green,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Reid Holskey,OL,Miami,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,J.J. Lippe,OL,Northern Illinois,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Addison West,OL,Western Michigan,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Jacob Gideon,OL,Western Michigan,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Harold Fannin Jr.,TE,Bowling Green,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Javon Tracy,WR,Miami,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Coleman Owen,WR,Ohio,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Jerjuan Newton,WR,Toledo,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Junior Vandeross III,WR,Toledo,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Terion Stewart,RB,Bowling Green,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Jaden Nixon,RB,Western Michigan,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Dom Dzioban,K,Miami,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,CJ Nunnally,DL,Akron,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Brian Ugwu,DL,Miami,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Devonte O’Malley,DL,Northern Illinois,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Bradley Weaver,DL,Ohio,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Joseph Sipp Jr.,LB,Bowling Green,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Shaun Dolac,LB,Buffalo,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Red Murdock,LB,Buffalo,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Matt Salopek,LB,Miami,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Jordan Oladokun,DB,Bowling Green,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Raion Strader,DB,Miami,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Nate Valcarcel,DB,Northern Illinois,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Maxen Hook,DB,Toledo,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Avery Book,P,Akron,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Parker Navarro,QB,Ohio,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Jon Mucciolo,OL,Ball State,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Brayden Swartout,OL,Central Michigan,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,John Champe,OL,Northern Illinois,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Logan Zschernitz,OL,Northern Illinois,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Parker Titsworth,OL,Ohio,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Carson Heidecker,OL,Ohio,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Tanner Koziol,TE,Ball State,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Adrian Norton,WR,Akron,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Oran Singleton,WR,Eastern Michigan,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Chrishon McCray,WR,Kent State,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Reggie Virgil,WR,Miami,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Keyon Mozee,RB,Miami,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Anthony Tyus III,RB,Ohio,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Jesús Gómez,K,Eastern Michigan,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Kobe Stewart,DL,Buffalo,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Corey Suttle,DL,Miami,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Roy Williams,DL,Northern Illinois,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Darius Alexander,DL,Toledo,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Bryan McCoy,LB,Akron,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Jordan Kwiatkowski,LB,Central Michigan,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,James Djonkam,LB,Eastern Michigan,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Ty Wise,LB,Miami,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Donte Kent,DB,Central Michigan,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,DJ Walker,DB,Ohio,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Avery Smith,DB,Toledo,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Tate Hallock,DB,Western Michigan,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,John Henderson,P,Bowling Green,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Connor Bazelak,QB,Bowling Green,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Ethan Crowe,OL,Ball State,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Taran Tyo,OL,Ball State,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Trevor Brock,OL,Buffalo,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Tyler Doty,OL,Buffalo,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Ethan Spoth,OL,Toledo,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Blake Bosma,TE,Western Michigan,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Cam Pickett,WR,Ball State,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Victor Snow,WR,Buffalo,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Terry Lockett,WR,Eastern Michigan,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Luke Floriea,WR,Kent State,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
2024,Al-Jay Henderson,RB,Buffalo,all_conference,All-MAC,MAC,first_team,wikipedia,https://en.wikipedia.org/wiki/2024_Mid-American_Conference_football_season
