full_name,season_year,week,team_name,conference_name,honor_scope,honor_name,selector,honor_team,position,placement,consensus_flag,unanimous_flag,source_name,source_url,notes
Marcus Mariota,2014,0,Oregon,Pac-12,national_award,Heisman Trophy Winner,Heisman Trust,Winner,QB,1,0,0,official-heisman,https://www.heisman.com/voting-records/,Official Heisman winner
Marcus Mariota,2014,0,Oregon,Pac-12,national_award,Heisman Trophy Finalist,Heisman Trust,Finalist,QB,,0,0,official-heisman,https://www.heisman.com/voting-records/,Official Heisman finalist
Melvin Gordon,2014,0,Wisconsin,Big Ten,national_award,Heisman Trophy Finalist,Heisman Trust,Finalist,RB,,0,0,official-heisman,https://www.heisman.com/voting-records/,Official Heisman finalist
Amari Cooper,2014,0,Alabama,SEC,national_award,Heisman Trophy Finalist,Heisman Trust,Finalist,WR,,0,0,official-heisman,https://www.heisman.com/voting-records/,Official Heisman finalist
Derrick Henry,2015,0,Alabama,SEC,national_award,Heisman Trophy Winner,Heisman Trust,Winner,RB,1,0,0,official-heisman,https://www.heisman.com/voting-records/,Official Heisman winner
Derrick Henry,2015,0,Alabama,SEC,national_award,Heisman Trophy Finalist,Heisman Trust,Finalist,RB,,0,0,official-heisman,https://www.heisman.com/voting-records/,Official Heisman finalist
Christian McCaffrey,2015,0,Stanford,Pac-12,national_award,Heisman Trophy Finalist,Heisman Trust,Finalist,RB,,0,0,official-heisman,https://www.heisman.com/voting-records/,Official Heisman finalist
Deshaun Watson,2015,0,Clemson,ACC,national_award,Heisman Trophy Finalist,Heisman Trust,Finalist,QB,,0,0,official-heisman,https://www.heisman.com/voting-records/,Official Heisman finalist
Lamar Jackson,2016,0,Louisville,ACC,national_award,Heisman Trophy Winner,Heisman Trust,Winner,QB,1,0,0,official-heisman,https://www.heisman.com/voting-records/,Official Heisman winner
Lamar Jackson,2016,0,Louisville,ACC,national_award,Heisman Trophy Finalist,Heisman Trust,Finalist,QB,,0,0,official-heisman,https://www.heisman.com/voting-records/,Official Heisman finalist
Baker Mayfield,2016,0,Oklahoma,Big 12,national_award,Heisman Trophy Finalist,Heisman Trust,Finalist,QB,,0,0,official-heisman,https://www.heisman.com/voting-records/,Official Heisman finalist
Jabrill Peppers,2016,0,Michigan,Big Ten,national_award,Heisman Trophy Finalist,Heisman Trust,Finalist,DB,,0,0,official-heisman,https://www.heisman.com/voting-records/,Official Heisman finalist
Deshaun Watson,2016,0,Clemson,ACC,national_award,Heisman Trophy Finalist,Heisman Trust,Finalist,QB,,0,0,official-heisman,https://www.heisman.com/voting-records/,Official Heisman finalist
Dede Westbrook,2016,0,Oklahoma,Big 12,national_award,Heisman Trophy Finalist,Heisman Trust,Finalist,WR,,0,0,official-heisman,https://www.heisman.com/voting-records/,Official Heisman finalist
Baker Mayfield,2017,0,Oklahoma,Big 12,national_award,Heisman Trophy Winner,Heisman Trust,Winner,QB,1,0,0,official-heisman,https://www.heisman.com/voting-records/,Official Heisman winner
